Suburb,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Income_Weekly,Median_Mortgage_Monthly,Total_Population,Population_55_74
Yarralumla,60.96918009699848,24.293405114401075,40.309555854643335,31.858974358974358,1591,3425,3120,994
Forrest (ACT),56.777313019078505,26.92664809656453,42.618384401114206,27.914614121510674,1816,2520,1827,510
Campbell,54.35216610886392,41.88075618031992,28.986912263693647,15.097501523461304,1292,2400,6564,991
Deakin,53.36549133640173,22.532467532467532,43.57142857142857,23.5595390524968,1577,3180,3124,736
Barton,50.58392235218256,24.69733656174334,46.40839386602099,24.30626927029805,1775,2015,1946,473
Russell Lea,49.145142627628104,22.50199840127898,33.61310951239009,21.951219512195124,1133,3290,4920,1080
Ainslie,47.51805217954327,22.723880597014926,39.626865671641795,22.321428571428573,1236,2600,5376,1200
Hackett,47.34115365992402,25.492610837438423,39.100985221674875,19.181902696002478,1361,2500,3227,619
Reid (ACT),47.13715870815164,20.677966101694913,39.548022598870055,26.03626943005181,1335,2300,1544,402
Hughes (ACT),46.946861112594796,22.75371687136393,37.03943115707822,21.152647975077883,1298,2700,3210,679
Kingston (ACT),46.39070693265897,25.226449275362317,44.99547101449276,18.422252621979023,1777,1950,6579,1212
Curtin,45.64687352188584,21.596904678156875,38.48047836792121,20.667983479978453,1341,2600,5569,1151
Griffith (ACT),45.415052240182916,23.100871731008716,41.62515566625156,20.23273273273273,1572,2118,5328,1078
Narrabundah,44.943285268797226,22.5093399750934,36.5815691158157,21.316808675445394,1250,2392,6455,1376
Garran,43.28107683050569,18.56899488926746,41.62407722884724,19.58985429033999,1349,2600,3706,726
Acton Park (Tas.),39.964652107483914,17.706708268330733,24.492979719188767,26.166593981683384,1058,2167,2293,600
Watson,37.50536475130638,20.3760162601626,37.881097560975604,14.360041623309053,1354,2067,6727,966
Turner,36.96665164155171,19.151036525172753,45.146429746627184,13.467561521252797,1448,1901,4470,602
Downer,36.60038568682372,19.991617770326908,32.81642917015926,15.47951582867784,1125,2167,4296,665
Kingston Beach,36.54760706209894,15.159574468085108,31.382978723404253,27.72234273318872,826,1577,2305,639
