Variable,Correlation,Abs_Correlation,N_Observations
Median_tot_fam_inc_weekly,0.8267556769972778,0.8267556769972778,2883
Median_tot_hhd_inc_weekly,0.8019408871665299,0.8019408871665299,2883
Manager_Plus_Professional_Pct,0.7491379263115291,0.7491379263115291,2883
Manager_Concentration_Pct,0.7403193772332461,0.7403193772332461,2883
Professional_Concentration_Pct,0.6806161366367777,0.6806161366367777,2883
Median_tot_prsnl_inc_weekly,0.633062911677491,0.633062911677491,2883
Average_num_psns_per_bedroom,0.3070924095072309,0.3070924095072309,2883
Average_household_size,0.30704513935400296,0.30704513935400296,2883
Total_Employed,0.12921894477843537,0.12921894477843537,2883
Median_age_persons,0.0059024257503960285,0.0059024257503960285,2883
